En(eV)	Re[e11]	Im[e11]	Re[e12]	Im[e12]	Re[e13]	Im[e13]	Re[e22]	Im[e22]	Re[e23]	Im[e23]	Re[e33]	Im[e33]
3.36862 2.1026 0.000181739 1.87375e-07 2.95496e-08 0 0 6.16203 0.855627 -0.321628 -0.0677475 2.12547 0.00536416
3.37862 2.10263 0.000188582 1.93146e-07 3.15466e-08 0 0 6.32098 0.936612 -0.334213 -0.0741597 2.12646 0.00587187
3.38862 2.10267 0.000195902 1.9929e-07 3.37505e-08 0 0 6.493 1.02976 -0.347834 -0.0815352 2.12754 0.00645585
3.39862 2.10271 0.000203752 2.05841e-07 3.61904e-08 0 0 6.67956 1.13761 -0.362605 -0.0900741 2.12871 0.00713195
3.40862 2.10275 0.000212194 2.12839e-07 3.89009e-08 0 0 6.88227 1.26335 -0.378656 -0.10003 2.12998 0.00792025
3.41862 2.10279 0.000221301 2.2033e-07 4.19228e-08 0 0 7.10288 1.41108 -0.396123 -0.111727 2.13136 0.0088464
3.42862 2.10284 0.000231157 2.28364e-07 4.53052e-08 0 0 7.34318 1.58606 -0.415149 -0.125582 2.13287 0.00994343
3.43862 2.10288 0.000241865 2.36999e-07 4.91067e-08 0 0 7.6049 1.79516 -0.435872 -0.142138 2.13451 0.0112543
3.44862 2.10293 0.000253544 2.46299e-07 5.33982e-08 0 0 7.88943 2.04735 -0.458401 -0.162106 2.1363 0.0128354
3.45862 2.10298 0.000266338 2.56339e-07 5.82659e-08 0 0 8.19735 2.3545 -0.482782 -0.186426 2.13823 0.0147609
3.46862 2.10303 0.000280421 2.672e-07 6.38155e-08 0 0 8.52746 2.7323 -0.508919 -0.21634 2.1403 0.0171295
3.47862 2.10309 0.000296004 2.78977e-07 7.01773e-08 0 0 8.8752 3.20155 -0.536453 -0.253494 2.14248 0.0200713
3.48862 2.10314 0.000313349 2.91776e-07 7.75132e-08 0 0 9.22963 3.78941 -0.564517 -0.30004 2.1447 0.0237567
3.49862 2.1032 0.000332778 3.05715e-07 8.60264e-08 0 0 9.56829 4.53026 -0.591331 -0.358699 2.14682 0.0284013
3.50862 2.10327 0.000354694 3.20926e-07 9.59738e-08 0 0 9.84851 5.46451 -0.613519 -0.432672 2.14858 0.0342583
3.51862 2.10334 0.000379608 3.3755e-07 1.07683e-07 0 0 9.9943 6.63139 -0.625062 -0.525063 2.14949 0.0415737
3.52862 2.10341 0.000408169 3.55738e-07 1.21575e-07 0 0 9.88088 8.04786 -0.616082 -0.637217 2.14878 0.0504539
3.53862 2.10348 0.000441216 3.75634e-07 1.38198e-07 0 0 9.32976 9.66275 -0.572446 -0.765081 2.14533 0.0605779
3.54862 2.10356 0.000479837 3.97365e-07 1.58268e-07 0 0 8.14956 11.287 -0.478999 -0.893686 2.13793 0.0707606
3.55862 2.10365 0.000525459 4.21001e-07 1.82731e-07 0 0 6.26659 12.5554 -0.329909 -0.99412 2.12612 0.0787129
3.56862 2.10373 0.000579964 4.46486e-07 2.12839e-07 0 0 3.90028 13.0459 -0.142549 -1.03295 2.11129 0.0817875
3.57862 2.10383 0.000645836 4.73525e-07 2.50254e-07 0 0 1.55981 12.5713 0.0427661 -0.995376 2.09661 0.0788123
3.58862 2.10392 0.000726325 5.01364e-07 2.9716e-07 0 0 -0.258526 11.3466 0.186738 -0.898405 2.08521 0.0711343
3.59862 2.10402 0.000825605 5.28409e-07 3.56366e-07 0 0 -1.35923 9.80075 0.27389 -0.776008 2.07831 0.0614432
3.60862 2.10412 0.000948731 5.5158e-07 4.31279e-07 0 0 -1.82994 8.2906 0.311159 -0.656437 2.07536 0.0519757
3.61862 2.1042 0.00110107 5.65283e-07 5.25511e-07 0 0 -1.86386 6.99641 0.313845 -0.553966 2.07515 0.0438623
3.62862 2.10426 0.00128635 5.60052e-07 6.4153e-07 0 0 -1.63587 5.96629 0.295793 -0.472403 2.07658 0.0374042
3.63862 2.10427 0.00150197 5.21563e-07 7.77445e-07 0 0 -1.26673 5.18533 0.266565 -0.410568 2.07889 0.0325083
3.64862 2.10422 0.0017308 4.32386e-07 9.21335e-07 0 0 -0.829848 4.61996 0.231973 -0.365803 2.08163 0.0289639
3.65862 2.10407 0.00193334 2.80609e-07 1.0459e-06 0 0 -0.367332 4.23808 0.195351 -0.335568 2.08453 0.0265699
3.66862 2.10386 0.00205442 7.55037e-08 1.113e-06 0 0 0.0962837 4.01631 0.158643 -0.318009 2.08744 0.0251797
3.67862 2.10362 0.00205556 -1.44752e-07 1.09597e-06 0 0 0.544051 3.94148 0.123189 -0.312084 2.09025 0.0247107
3.68862 2.10344 0.0019476 -3.32106e-07 1.00199e-06 0 0 0.958771 4.00994 0.0903513 -0.317506 2.09285 0.02514
3.69862 2.10335 0.00178127 -4.59032e-07 8.65643e-07 0 0 1.31561 4.22505 0.062097 -0.334539 2.09508 0.0264888
